"title","authors","year","instrument","radio_frequency_range","target_event_type","gaussian_model","centroid_definition","source_size_definition","beam_handling","background_handling","uncertainty_method","quality_control","applicability_to_DART_DRAT","notes_for_current_code"
"Imaging spectroscopy reveals spike-like repeating radio burst pairs in the solar corona","Daniel L. Clarkson; Eduard P. Kontar; Huadong Chen; Suli Ma; Yihua Yan","2026","solar radio imaging spectroscopy","metric-decametric","spike-like repeating burst pairs","需要全文核对具体成像拟合模型；摘要已明确使用成像频谱与源位移分析。","基于成像频谱的源位置与位移度量。","摘要层面未给出显式 FWHM 公式，全文需补充。","需全文核对 beam / scattering 处理细节。","需全文核对。","需全文核对位置与位移误差定义。","事件筛选 + 成像位移一致性检查","可直接参考其成像频谱与源位移解释框架。","适合作为 Gaussian center trajectory 与 drift-rate 结果并行讨论的对标案例。"
"Magnetic Field Geometry and Anisotropic Scattering Effects on Solar Radio Burst Observations","Daniel L. Clarkson; Eduard P. Kontar","2025","simulation motivated by LOFAR fine-structure observations","low-frequency solar radio fine structures","solar radio fine structures, spikes, type IIIb striae","不提供拟合公式；用于解释为什么单源 Gaussian 椭圆和中心可能只是传播后的表观结果。","apparent source position may move along magnetic-field geometry rather than density-gradient direction.","source morphology and apparent size are modified by anisotropic scattering and can split into multiple apparent components.","强调 scattering / propagation 是 beam 之外的关键表观扩展与分裂来源。","不适用。","把磁场几何、散射各向异性和 source bifurcation 作为 centroid 系统误差来源。","multi-peak flag、ellipse angle 与磁场方向对比、drift-rate 传播效应检查","高，适合解释 DART / DRAT 图像中低频源区拉长、偏心、多峰和 trajectory 异常。","若 Gaussian ellipse 长轴方向和 contour 多峰结构随频率系统变化，应先输出传播/散射警告，不直接解释为真实源区结构。"
"Sizes and Shapes of Solar Type III Radio Burst Sources in LOFAR Tied-Array Imaging and the Role of Scattering","Diana Morosan; Eoin P. Carley; Hamish Reid; Pietro Zucca","2021","LOFAR tied-array imaging","low frequency metric","solar type III burst","围绕源区尺寸和形状拟合展开，适合作为 elliptical Gaussian / shape fitting 参考。","以多频成像源位移和形状演化共同约束中心位置。","重点关注表观 source size、shape 和频率依赖性。","核心强调 scattering，使去卷积后的真实尺寸解释仍需谨慎。","需全文核对背景项设计。","应结合 source shape 与 scattering 不确定性联合评估。","形态连续性、频率趋势和散射一致性","高，适合指导 source size / morphology 的论文写法和质量控制。","建议把 morphology evolution 与 centroid offset 一起输出，而不是只给一个椭圆。"
"Sub-second Time Evolution of Type III Solar Radio Burst Sources at Fundamental and Harmonic Frequencies","Baolin Tan; Eduard P. Kontar; Mykola Gordovskyy; Natasha L. S. Jeffrey; Nicolina Chrysaphi; Xingyao Chen; Yihua Yan","2020","LOFAR / low-frequency imaging spectroscopy","around 32 MHz","type III / type IIIb burst with fundamental and harmonic components","不以 Gaussian 公式为主，重点是观测 centroid locations 与 source sizes 的时序解释。","使用窄频成像得到的 centroid locations 作为表观源位置，并与传播模拟输出比较。","比较 fundamental 与 harmonic apparent source sizes 及其 sub-second 演化。","重点讨论各向异性散射造成的表观位置和尺寸变化；真实源区大小解释需保守。","需结合全文核对具体背景处理。","将传播散射作为系统误差来源，不能只用拟合协方差衡量 centroid 可靠性。","fundamental/harmonic 区分、sub-second 连续性、source size 与 time profile 一致性","高，适合解释低频源区的 centroid drift、FWHM 增大和速度估计偏差。","建议对低频帧增加 propagation_warning，并在速度拟合前检查 source-size/time-profile 是否受散射主导。"
"Frequency-Distance Structure of Solar Radio Sources Observed by LOFAR","Alexey Kuznetsov; Eduard P. Kontar; Mykola Gordovskyy; Philippa Browning","2019","LOFAR tied-array imaging","30-50 MHz","solar radio bursts including type III-like events","使用 2D elliptical Gaussian fitting，并与最大亮度点和半峰值阈值中心方法交叉比较。","source position 可由 intensity maximum、0.5 peak 阈值 center-of-mass 或 2D elliptical Gaussian center 得到，三者接近时说明源形态较对称。","源形态近似椭圆；重点在位置-频率关系而非单独 FWHM 统计。","记录 LOFAR beam 尺度，并把电离层折射、散射和密度模型偏差作为表观位置误差来源。","以阈值图像和校准后的 beam-formed map 做位置估计；背景项公式需全文进一步核对。","使用 Tau A 多频观测估计 centroid 误差和电离层折射修正，适合当前项目借鉴外部校准思路。","三种中心方法一致性、频率趋势、Tau A 校准、电离层折射和散射一致性检查","极高，尤其适合建立 Gaussian center 与 contour center / intensity-weighted center 的可靠性验证。","建议新增 center_method_comparison 表，并把 Newkirk height 比较改为 height-frequency / apparent-distance 对照，而不是单一空间外推。"
"On the Source Position and Duration of a Solar Type III Radio Burst Observed by LOFAR","Diana Morosan; Eoin P. Carley; Hamish Reid; Ming Zhang; Pietro Zucca","2019","LOFAR","low frequency metric","solar type III burst","文摘与相关介绍指向椭圆源形拟合；正式引用前建议在全文核对参数化形式。","以成像频谱得到的源位置 / centroid 追踪 burst 在不同频率与时刻的表观位置。","讨论源持续时间与表观尺寸，适合作为 FWHM / size 的方法背景。","强调传播与散射影响表观位置和尺寸，beam 解释需谨慎。","需全文核对是否显式保留背景项。","可结合其位置变化和传播讨论，转化为 centroid 可靠性约束。","多频位置一致性 + 传播效应检查","高，适合借鉴源中心轨迹、持续时间和传播偏差解释。","应把 Gaussian center 与 drift-rate 解释分开，不可把表观中心直接等同电子束真实位置。"
"The apparent positions of solar radio sources observed by the Low Frequency Array","Diana Morosan; Eduard P. Kontar; Eoin P. Carley; Hamish Reid; Pietro Zucca","2017","LOFAR","30-90 MHz","solar radio sources","At each observing frequency the source position and area are fitted with an elliptical Gaussian.","椭圆 Gaussian 的中心位置作为 radio source centroid / source position。","由椭圆 Gaussian 的 major / minor axis 或面积表征表观 source size。","重点讨论 scattering 对 apparent position 和 apparent size 的影响；真实尺寸解释需谨慎。","需结合全文核对是否显式采用常数背景项。","可结合频率依赖的表观位移和散射讨论 centroid uncertainty。","多频位置趋势、面积随频率变化和传播散射一致性","极高，可直接迁移到当前的 centroid / size / apparent source size 叙述框架。","若缺少可靠 beam 信息，应使用 observed apparent size，而不是 intrinsic size。"
"A decade of solar Type III radio bursts observed by the Nancay Radioheliograph 1998-2008","Alain Kerdraon; Nicole Vilmer; Pascal Saint-Hilaire","2013","Nançay Radioheliograph","150.9-432 MHz","solar type III bursts","Radio sources were fitted with 2D elliptical Gaussians to obtain semi-major/minor widths and tilt angle.","Gaussian source fit provides the apparent source position on NRH maps; statistical source positions are then analyzed over solar cycle.","sigma major/minor are converted to FWHM with 2.355, and rms FWHM is used for size statistics.","Assumes observed source, interferometer beam and intrinsic source are elliptical Gaussians; derives deconvolved true source size when beam is known.","Uses brightness-temperature thresholded NRH maps; detailed background term is not the central focus.","Beamwidth, temporal averaging, alias ambiguity and multiple sources are treated as important limitations.","peak brightness threshold, alias ambiguity screening, frequency-dependent beamwidth, multiple-source caveat","极高，适合定义 FWHM_major/minor、beam deconvolution 和 overlarge_fwhm flag 的论文写法。","若 DART / DRAT beam 信息不完整，应先输出 observed_fwhm_major/minor；不要声称 intrinsic source size。"
"Electron Beam Propagation and Radio-Wave Scattering in the Inner Heliosphere using Five Spacecraft","D. A. M. Williams; E. R. K. Drake; Hamish Reid; L. A. R. Mesquita","2025","multi-spacecraft radio observations","inner heliosphere","type III bursts","","更侧重传播偏差，不以单一 centroid 拟合为主。","","突出 scattering 对表观位置和频漂的影响。","","传播路径和散射本身构成系统误差来源。","多平台一致性检查","中高，适合写入误差和物理解释边界。","应把速度比较分成 apparent motion、density-model motion 和 drift-rate motion 三类。"
"A Review of Recent Solar Type III Imaging Spectroscopy","Diana Morosan; Eoin P. Carley; Hamish Reid","2020","review","broadband","type III bursts","综述性质，不提供单一拟合公式。","总结 source region / centroid 的观测局限。","总结 apparent size 与 scattering 问题。","总结 beam / scattering / propagation 的综合影响。","","适合作为 centroid uncertainty 的背景综述。","方法综述","适合搭建整个论文的方法与背景框架。","用于 README、综述和方法综述提纲。"
"Type III Solar Radio Burst Source Region Splitting Due to a Quasi-Separatrix Layer","Diana Morosan; Eduard P. Kontar; Eoin P. Carley; Hamish Reid; Pietro Zucca","2017","LOFAR and joint observations","low frequency metric","solar type III burst","该文更强调形态分裂，不应默认单源 Gaussian 足够。","多源结构下单个 centroid 可能不再具有唯一物理意义。","形态分裂比单一 FWHM 更关键。","重点不在 beam 去卷积，而在磁拓扑导致的真实多源形态。","","应把多峰结构本身视为 centroid 不确定性的来源。","multi-peak flag 是必要的","中高，尤其适合低频多峰事件的质量控制。","检测到多峰或 source splitting 时，不应直接输出单一物理速度。"
